,Course Name,Prereqs
0,AAS 10,[]
1,AIP 197T,[]
2,ANBI 118,[]
3,ANAR 121,[]
4,ANBI 136,[]
5,ANBI 121,[]
6,ANAR 120,[]
7,ANAR 146,[]
8,AAS 190,[]
9,ANBI 141,[]
10,ANSC 122,[]
11,ANBI 175,[]
12,ANSC 148,[]
13,ANSC 144,[]
14,ANSC 180,[]
15,ANSC 164,[]
16,ANSC 133,[]
17,ANTH 101,[]
18,ANSC 117,[]
19,ANSC 124,[]
20,ANSC 186,[]
21,ANSC 121,[]
22,ANTH 21,[]
23,ANTH 23,[]
24,ANTH 105,[]
25,ANTH 2,[]
26,AWP 3,[]
27,ANTH 87,[]
28,AWP 2B,[]
29,AWP 4A,[]
30,BENG 100,"['B' 'E' 'N' 'G' ' ' '1' 'M' 'A' 'T' 'H' ' ' '1' '8' 'M' 'A' 'T' 'H' ' '
 '3' '1' 'A' 'H' 'M' 'A' 'T' 'H' ' ' '2' '0' 'C' 'M' 'A' 'T' 'H' ' ' '3'
 '1' 'B' 'H']"
31,BENG 119A,['B' 'E' 'N' 'G' ' ' '1' '8' '7' 'A']
32,BENG 122A,['B' 'E' 'N' 'G' ' ' '1' '3' '4' 'M' 'A' 'E' ' ' '1' '4' '0']
33,BENG 110,"['P' 'H' 'Y' 'S' ' ' '2' 'C' 'M' 'A' 'T' 'H' ' ' '2' '0' 'D' 'M' 'A' 'T'
 'H' ' ' '2' '0' 'E' 'M' 'A' 'T' 'H' ' ' '3' '1' 'C' 'H' 'M' 'A' 'T' 'H'
 ' ' '1' '8' 'M' 'A' 'T' 'H' ' ' '2' '0' 'F' 'M' 'A' 'T' 'H' ' ' '3' '1'
 'A' 'H']"
34,BENG 127A,['B' 'E' 'N' 'G' ' ' '1' '8' '7' 'A']
35,BENG 126A,['B' 'E' 'N' 'G' ' ' '1' '8' '7' 'A']
36,BENG 134,"['M' 'A' 'T' 'H' ' ' '2' '0' 'D' 'M' 'A' 'T' 'H' ' ' '1' '8' 'M' 'A' 'T'
 'H' ' ' '2' '0' 'F' 'M' 'A' 'T' 'H' ' ' '3' '1' 'A' 'H' 'B' 'E' 'N' 'G'
 ' ' '1' '0' '0']"
37,BENG 135,['E' 'C' 'E' ' ' '4' '5' 'B' 'E' 'N' 'G' ' ' '1' '3' '3']
38,BENG 141,['B' 'E' 'N' 'G' ' ' '1' '0' '0']
39,BENG 147A,['B' 'E' 'N' 'G' ' ' '1' '8' '7' 'A']
40,BENG 149A,['B' 'E' 'N' 'G' ' ' '1' '8' '7' 'A']
41,BENG 161A,['B' 'E' 'N' 'G' ' ' '1' '2' '3' 'B' 'E' 'N' 'G' ' ' '1' '6' '0']
42,BENG 162,['M' 'A' 'E' ' ' '1' '7' '0' 'B' 'E' 'N' 'G' ' ' '1' '6' '0']
43,BENG 168,['B' 'I' 'L' 'D' ' ' '1' 'B' 'E' 'N' 'G' ' ' '1' '0' '0']
44,BENG 166A,['B' 'E' 'N' 'G' ' ' '1' '0' '3' 'B' 'B' 'E' 'N' 'G' ' ' '1' '1' '2' 'B']
45,BENG 169A,['B' 'E' 'N' 'G' ' ' '1' '8' '7' 'A']
46,BENG 179A,['B' 'E' 'N' 'G' ' ' '1' '8' '7' 'A']
47,BENG 183,['B' 'I' 'M' 'M' ' ' '1' '0' '0' 'C' 'H' 'E' 'M' ' ' '1' '1' '4' 'C']
48,BENG 187B,['B' 'E' 'N' 'G' ' ' '1' '8' '7' 'A']
