,Course Name,Prereqs
0,AAS 10,[]
1,AIP 197T,[]
2,ANBI 118,[]
3,ANAR 121,[]
4,ANBI 136,[]
5,ANBI 121,[]
6,ANAR 120,[]
7,ANAR 146,[]
8,AAS 190,[]
9,ANBI 141,[]
10,ANSC 122,[]
11,ANBI 175,[]
12,ANSC 148,[]
13,ANSC 144,[]
14,ANSC 180,[]
15,ANSC 164,[]
16,ANSC 133,[]
17,ANTH 101,[]
18,ANSC 117,[]
19,ANSC 124,[]
20,ANSC 186,[]
21,ANSC 121,[]
22,ANTH 21,[]
23,ANTH 23,[]
24,ANTH 105,[]
25,ANTH 2,[]
26,AWP 3,[]
27,ANTH 87,[]
28,AWP 2B,[]
29,AWP 4A,[]
49,BENG 2,[]
62,BILD 1,[]
64,BILD 20,[]
65,BILD 10,[]
66,BILD 3,[]
67,BILD 30,[]
68,BILD 32,[]
69,BILD 4,[]
71,BILD 70,[]
72,BILD 92,[]
76,BILD 96,[]
90,BISP 195,[]
95,CCS 102,[]
97,CAT 125R,[]
100,CENG 15,[]
102,CENG 4,[]
103,CGS 117,[]
104,CGS 118,[]
106,CGS 108,[]
108,CGS 119,[]
109,CGS 120,[]
110,CGS 2A,[]
117,CHEM 11,[]
123,CHEM 4,[]
130,CHEM 6AH,[]
133,CHEM 6A,[]
136,CHEM 96,[]
137,CHEM 87,[]
138,CHIN 10AD,[]
140,CHIN 10AM,[]
142,CHIN 10AN,[]
146,COGS 1,[]
147,COGS 10,[]
156,COGS 11,[]
161,COGS 13,[]
167,COGS 143,[]
168,COGS 14A,[]
170,COGS 17,[]
171,COGS 15,[]
172,COGS 156,[]
173,COGS 160,[]
175,COGS 174,[]
176,COGS 18,[]
178,COGS 3,[]
180,COGS 87,[]
182,COGS 2,[]
183,COGS 9,[]
184,COGS 8,[]
186,COMM 10,[]
188,COMM 102C,[]
206,COMM 196A,[]
216,CSE 11,[]
236,CSE 193,[]
237,CSE 8A,[]
240,CSE 87,[]
242,CSE 95,[]
243,DSC 10,[]
246,DOC 1,[]
248,DOC 100D,[]
252,DSC 190,[]
258,DSC 96,[]
259,DSGN 1,[]
262,DSGN 160,[]
268,ECE 128A,[]
277,ECE 15,[]
285,ECE 191,[]
291,ECE 25,[]
295,ECE 5,[]
297,ECON 1,[]
314,ECON 191A,[]
316,EDS 110R,[]
317,EDS 124AR,[]
318,ECON 4,[]
319,EDS 115,[]
320,EDS 116,[]
321,EDS 124BR,[]
322,EDS 117,[]
323,EDS 125,[]
324,EDS 126,[]
325,EDS 129A,[]
326,EDS 130,[]
327,EDS 31,[]
328,EDS 150,[]
329,EDS 25,[]
330,EDS 133,[]
331,ENG 15,[]
332,EDS 39,[]
333,EDS 50,[]
336,ENG 10,[]
337,ENG 20,[]
338,ENVR 102,[]
339,ENVR 30,[]
340,ENVR 87,[]
341,ERC 20,[]
343,ESYS 90,[]
344,ETHN 1,[]
346,ETHN 103A,[]
347,ETHN 119,[]
348,ETHN 104,[]
349,ETHN 113,[]
350,ETHN 168,[]
351,ETHN 115,[]
352,ETHN 118,[]
353,ETHN 130,[]
354,ETHN 178,[]
355,FILM 87,[]
358,ETHN 20,[]
363,FMPH 40,[]
364,GLBH 148,[]
365,GLBH 100,[]
369,GLBH 181,[]
370,GLBH 20,[]
371,HDS 175,[]
372,HDS 1,[]
376,HDS 171,[]
378,HIEU 103,[]
379,HDS 60,[]
380,HIAF 111,[]
382,HIAF 113,[]
385,HIEU 106,[]
